change_id,entity_id,implemented_at,risk,change_type,state,data_classification
CHG-000008,VENDOR-0049,2024-01-01T00:31:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000010,VENDOR-0003,2024-01-01T01:10:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000014,COMP-0273,2024-01-01T01:15:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000025,INFRA-0068,2024-01-01T05:38:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000030,COMP-0379,2024-01-01T05:30:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000031,INFRA-0095,2024-01-01T05:23:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000033,VENDOR-0039,2024-01-01T07:05:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000034,INFRA-0129,2024-01-01T07:15:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000036,INFRA-0003,2024-01-01T06:46:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000039,VENDOR-0020,2024-01-01T08:41:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000045,DATA-0004,2024-01-01T11:35:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000048,POL-0011,2024-01-01T11:38:00+00:00,HIGH,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000049,POL-0018,2024-01-01T11:42:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000050,POL-0025,2024-01-01T11:30:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000051,COMP-0011,2024-01-01T13:02:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000052,COMP-0018,2024-01-01T12:24:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000053,COMP-0025,2024-01-01T12:53:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000054,COMP-0032,2024-01-01T14:26:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000057,CLOUD-0185,2024-01-01T14:50:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000059,CLOUD-0199,2024-01-01T14:33:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000066,COMP-0059,2024-01-01T17:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000068,COMP-0073,2024-01-01T17:35:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000071,COMP-0094,2024-01-01T16:58:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000075,VENDOR-0022,2024-01-01T19:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000080,VENDOR-0057,2024-01-01T19:15:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000087,VENDOR-0046,2024-01-01T23:46:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000091,INFRA-0033,2024-01-01T23:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000096,VENDOR-0056,2024-01-02T02:04:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000098,VENDOR-0010,2024-01-02T02:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000105,VENDOR-0059,2024-01-02T05:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
