observation_id,episode_id,entity_id,metric_id,breach_direction,observed_at,severity,value_band,data_classification
OBS-000001,EP-000001,SVC-0019,request_latency_ms,UP,2024-01-01T00:20:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000002,EP-000002,SVC-0097,authentication_failure_rate,UP,2024-01-01T00:37:00+00:00,CRITICAL,SEVERE,SYNTHETIC
OBS-000003,EP-000003,SVC-0035,service_error_rate,UP,2024-01-01T00:54:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000004,EP-000004,SVC-0064,queue_depth,UP,2024-01-01T01:11:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000005,EP-000005,SVC-0035,connection_failure_rate,UP,2024-01-01T01:28:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000006,EP-000006,SVC-0002,connection_failure_rate,UP,2024-01-01T01:45:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000007,EP-000007,SVC-0036,request_latency_ms,UP,2024-01-01T02:02:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000008,EP-000008,SVC-0010,authentication_failure_rate,UP,2024-01-01T02:19:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000009,EP-000009,SVC-0002,request_latency_ms,UP,2024-01-01T02:36:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000010,EP-000010,SVC-0015,transaction_failure_rate,UP,2024-01-01T02:53:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000011,EP-000011,SVC-0027,connection_failure_rate,UP,2024-01-01T03:10:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000012,EP-000012,SVC-0010,queue_depth,UP,2024-01-01T03:27:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000013,EP-000013,SVC-0028,transaction_failure_rate,UP,2024-01-01T03:44:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000014,EP-000014,SVC-0273,request_timeout_rate,UP,2024-01-01T04:01:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000015,EP-000015,SVC-0280,request_timeout_rate,UP,2024-01-01T04:18:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000016,EP-000016,SVC-0287,queue_depth,UP,2024-01-01T04:35:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000017,EP-000017,SVC-0009,request_timeout_rate,UP,2024-01-01T04:52:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000018,EP-000018,SVC-0065,service_error_rate,UP,2024-01-01T05:09:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000019,EP-000019,SVC-0020,connection_failure_rate,UP,2024-01-01T05:26:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000020,EP-000020,SVC-0063,request_timeout_rate,UP,2024-01-01T05:43:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000021,EP-000021,SVC-0147,authentication_failure_rate,UP,2024-01-01T06:00:00+00:00,CRITICAL,SEVERE,SYNTHETIC
OBS-000022,EP-000022,SVC-0002,queue_depth,UP,2024-01-01T06:17:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000023,EP-000023,SVC-0001,request_latency_ms,UP,2024-01-01T06:34:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000024,EP-000024,SVC-0012,request_latency_ms,UP,2024-01-01T06:51:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000025,EP-000025,SVC-0070,request_latency_ms,UP,2024-01-01T07:08:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000026,EP-000026,SVC-0055,queue_depth,UP,2024-01-01T07:25:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000027,EP-000027,SVC-0058,request_latency_ms,UP,2024-01-01T07:42:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000028,EP-000028,SVC-0065,queue_depth,UP,2024-01-01T07:59:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000029,EP-000029,SVC-0072,request_timeout_rate,UP,2024-01-01T08:16:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000030,EP-000030,SVC-0079,authentication_failure_rate,UP,2024-01-01T08:33:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000031,EP-000031,SVC-0009,service_error_rate,UP,2024-01-01T08:50:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000032,EP-000032,SVC-0004,transaction_failure_rate,UP,2024-01-01T09:07:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000033,EP-000033,SVC-0022,service_error_rate,UP,2024-01-01T09:24:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000034,EP-000034,SVC-0075,request_latency_ms,UP,2024-01-01T09:41:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000035,EP-000035,SVC-0036,transaction_failure_rate,UP,2024-01-01T09:58:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000036,EP-000036,SVC-0011,queue_depth,UP,2024-01-01T10:15:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000037,EP-000037,SVC-0011,transaction_failure_rate,UP,2024-01-01T10:32:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000038,EP-000038,SVC-0013,authentication_failure_rate,UP,2024-01-01T10:49:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000039,EP-000039,SVC-0019,connection_failure_rate,UP,2024-01-01T11:06:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000040,EP-000040,SVC-0052,service_error_rate,UP,2024-01-01T11:23:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000041,EP-000041,SVC-0143,connection_failure_rate,UP,2024-01-01T11:40:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000042,EP-000042,SVC-0207,connection_failure_rate,UP,2024-01-01T11:57:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000043,EP-000043,SVC-0147,service_error_rate,UP,2024-01-01T12:14:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000044,EP-000044,SVC-0024,queue_depth,UP,2024-01-01T12:31:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000045,EP-000045,SVC-0159,connection_failure_rate,UP,2024-01-01T12:48:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000046,EP-000046,SVC-0011,service_error_rate,UP,2024-01-01T13:05:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000047,EP-000047,SVC-0001,authentication_failure_rate,UP,2024-01-01T13:22:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000048,EP-000048,SVC-0018,connection_failure_rate,UP,2024-01-01T13:39:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000049,EP-000049,SVC-0002,queue_depth,UP,2024-01-01T13:56:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000050,EP-000050,SVC-0016,service_error_rate,UP,2024-01-01T14:13:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000051,EP-000051,SVC-0011,service_error_rate,UP,2024-01-01T14:30:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000052,EP-000052,SVC-0018,transaction_failure_rate,UP,2024-01-01T14:47:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000053,EP-000053,SVC-0025,queue_depth,UP,2024-01-01T15:04:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000054,EP-000054,SVC-0032,request_timeout_rate,UP,2024-01-01T15:21:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000055,EP-000055,SVC-0039,queue_depth,UP,2024-01-01T15:38:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000056,EP-000056,SVC-0178,request_timeout_rate,UP,2024-01-01T15:55:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000057,EP-000057,SVC-0185,request_timeout_rate,UP,2024-01-01T16:12:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000058,EP-000058,SVC-0192,request_latency_ms,UP,2024-01-01T16:29:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000059,EP-000059,SVC-0199,request_latency_ms,UP,2024-01-01T16:46:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000060,EP-000060,SVC-0206,request_latency_ms,UP,2024-01-01T17:03:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000061,EP-000061,SVC-0213,request_latency_ms,UP,2024-01-01T17:20:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000062,EP-000062,SVC-0220,authentication_failure_rate,UP,2024-01-01T17:37:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000063,EP-000063,SVC-0227,queue_depth,UP,2024-01-01T17:54:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000064,EP-000064,SVC-0045,authentication_failure_rate,UP,2024-01-01T18:11:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000065,EP-000065,SVC-0052,transaction_failure_rate,UP,2024-01-01T18:28:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000066,EP-000066,SVC-0059,service_error_rate,UP,2024-01-01T18:45:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000067,EP-000067,SVC-0066,service_error_rate,UP,2024-01-01T19:02:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000068,EP-000068,SVC-0073,authentication_failure_rate,UP,2024-01-01T19:19:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000069,EP-000069,SVC-0080,service_error_rate,UP,2024-01-01T19:36:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000070,EP-000070,SVC-0087,transaction_failure_rate,UP,2024-01-01T19:53:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000071,EP-000071,SVC-0094,queue_depth,UP,2024-01-01T20:10:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000072,EP-000072,SVC-0101,service_error_rate,UP,2024-01-01T20:27:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000073,EP-000073,SVC-0108,queue_depth,UP,2024-01-01T20:44:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000074,EP-000074,SVC-0115,connection_failure_rate,UP,2024-01-01T21:01:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000075,EP-000075,SVC-0006,queue_depth,UP,2024-01-01T21:18:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000076,EP-000076,SVC-0007,connection_failure_rate,UP,2024-01-01T21:35:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000077,EP-000077,SVC-0030,queue_depth,UP,2024-01-01T21:52:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000078,EP-000078,SVC-0007,connection_failure_rate,UP,2024-01-01T22:09:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000079,EP-000079,SVC-0006,request_timeout_rate,UP,2024-01-01T22:26:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000080,EP-000080,SVC-0015,request_timeout_rate,UP,2024-01-01T22:43:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000081,EP-000081,SVC-0007,queue_depth,UP,2024-01-01T23:00:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000082,EP-000082,SVC-0004,transaction_failure_rate,UP,2024-01-01T23:17:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000083,EP-000083,SVC-0005,request_latency_ms,UP,2024-01-01T23:34:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000084,EP-000084,SVC-0025,service_error_rate,UP,2024-01-01T23:51:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000085,EP-000085,SVC-0004,request_timeout_rate,UP,2024-01-02T00:08:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000086,EP-000086,SVC-0022,request_latency_ms,UP,2024-01-02T00:25:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000087,EP-000087,SVC-0021,service_error_rate,UP,2024-01-02T00:42:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000088,EP-000088,SVC-0012,request_timeout_rate,UP,2024-01-02T00:59:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000089,EP-000089,SVC-0014,connection_failure_rate,UP,2024-01-02T01:16:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000090,EP-000090,SVC-0002,request_timeout_rate,UP,2024-01-02T01:33:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000091,EP-000091,SVC-0019,request_latency_ms,UP,2024-01-02T01:50:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000092,EP-000092,SVC-0006,service_error_rate,UP,2024-01-02T02:07:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000093,EP-000093,SVC-0011,connection_failure_rate,UP,2024-01-02T02:24:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000094,EP-000094,SVC-0020,request_latency_ms,UP,2024-01-02T02:41:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000095,EP-000095,SVC-0012,service_error_rate,UP,2024-01-02T02:58:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000096,EP-000096,SVC-0002,connection_failure_rate,UP,2024-01-02T03:15:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000097,EP-000097,SVC-0015,transaction_failure_rate,UP,2024-01-02T03:32:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000098,EP-000098,SVC-0006,transaction_failure_rate,UP,2024-01-02T03:49:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000099,EP-000099,SVC-0011,authentication_failure_rate,UP,2024-01-02T04:06:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000100,EP-000100,SVC-0002,request_latency_ms,UP,2024-01-02T04:23:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000101,EP-000101,SVC-0030,service_error_rate,UP,2024-01-02T04:40:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
