incident_id,episode_id,observation_id,entity_id,entity_type,opened_at,region,business_unit,severity,symptom_category,onset_shape,blast_radius_band,support_team_id,recent_change_present,vendor_status_at_onset,short_description,state,data_classification
INC-000001,EP-000001,OBS-000001,SVC-0019,APPLICATION_SERVICE,2024-01-01T00:29:00+00:00,LATAM,Support,HIGH,latency increase,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0019,False,UNKNOWN,Latency Increase affecting Application Service 0019,CLOSED,SYNTHETIC
INC-000002,EP-000002,OBS-000002,SVC-0097,APPLICATION_SERVICE,2024-01-01T00:46:00+00:00,AP-NORTHEAST,Supply Chain,CRITICAL,authentication failure,STEP,CROSS_PLATFORM,TEAM-0097,False,NOT_CHECKED,Authentication Failure affecting Application Service 0097,CLOSED,SYNTHETIC
INC-000003,EP-000003,OBS-000003,SVC-0035,APPLICATION_SERVICE,2024-01-01T01:03:00+00:00,AP-SOUTH,Manufacturing,HIGH,service degradation,STEP,CROSS_PLATFORM,TEAM-0035,False,NOT_CHECKED,Service Degradation affecting Application Service 0035,CLOSED,SYNTHETIC
INC-000004,EP-000004,OBS-000004,SVC-0064,APPLICATION_SERVICE,2024-01-01T01:20:00+00:00,LATAM,Finance,MEDIUM,queue delay,STEP,CROSS_PLATFORM,TEAM-0064,False,UNKNOWN,Queue Delay affecting Application Service 0064,CLOSED,SYNTHETIC
INC-000005,EP-000005,OBS-000005,SVC-0035,APPLICATION_SERVICE,2024-01-01T01:37:00+00:00,AP-SOUTH,Manufacturing,HIGH,connection failure,GRADUAL,CROSS_PLATFORM,TEAM-0035,False,NOT_CHECKED,Connection Failure affecting Application Service 0035,CLOSED,SYNTHETIC
INC-000006,EP-000006,OBS-000006,SVC-0002,APPLICATION_SERVICE,2024-01-01T01:54:00+00:00,LATAM,Security,MEDIUM,connection failure,PERIODIC,CROSS_PLATFORM,TEAM-0002,False,NOT_CHECKED,Connection Failure affecting Application Service 0002,CLOSED,SYNTHETIC
INC-000007,EP-000007,OBS-000007,SVC-0036,APPLICATION_SERVICE,2024-01-01T02:11:00+00:00,LATAM,Engineering,LOW,latency increase,STEP,CROSS_PLATFORM,TEAM-0036,False,NOT_CHECKED,Latency Increase affecting Application Service 0036,CLOSED,SYNTHETIC
INC-000008,EP-000008,OBS-000008,SVC-0010,APPLICATION_SERVICE,2024-01-01T02:28:00+00:00,LATAM,Manufacturing,LOW,authentication failure,PERIODIC,CROSS_PLATFORM,TEAM-0010,True,NOT_CHECKED,Authentication Failure affecting Application Service 0010,CLOSED,SYNTHETIC
INC-000009,EP-000009,OBS-000009,SVC-0002,APPLICATION_SERVICE,2024-01-01T02:45:00+00:00,LATAM,Security,LOW,latency increase,PERIODIC,CROSS_PLATFORM,TEAM-0002,False,NOT_CHECKED,Latency Increase affecting Application Service 0002,CLOSED,SYNTHETIC
INC-000010,EP-000010,OBS-000010,SVC-0015,APPLICATION_SERVICE,2024-01-01T03:02:00+00:00,LATAM,Data,MEDIUM,transaction failure,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0015,True,UNKNOWN,Transaction Failure affecting Application Service 0015,CLOSED,SYNTHETIC
INC-000011,EP-000011,OBS-000011,SVC-0027,APPLICATION_SERVICE,2024-01-01T03:19:00+00:00,US-EAST,Commerce,MEDIUM,connection failure,BURST,CROSS_PLATFORM,TEAM-0027,False,NOT_CHECKED,Connection Failure affecting Application Service 0027,CLOSED,SYNTHETIC
INC-000012,EP-000012,OBS-000012,SVC-0010,APPLICATION_SERVICE,2024-01-01T03:36:00+00:00,LATAM,Manufacturing,LOW,queue delay,GRADUAL,CROSS_PLATFORM,TEAM-0010,False,NOT_CHECKED,Queue Delay affecting Application Service 0010,CLOSED,SYNTHETIC
INC-000013,EP-000013,OBS-000013,SVC-0028,APPLICATION_SERVICE,2024-01-01T03:53:00+00:00,EU-CENTRAL,Manufacturing,HIGH,transaction failure,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0028,False,UNKNOWN,Transaction Failure affecting Application Service 0028,CLOSED,SYNTHETIC
INC-000014,EP-000014,OBS-000014,SVC-0273,APPLICATION_SERVICE,2024-01-01T04:10:00+00:00,US-WEST,HR,MEDIUM,request timeout,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0033,True,UNKNOWN,Request Timeout affecting Application Service 0273,CLOSED,SYNTHETIC
INC-000015,EP-000015,OBS-000015,SVC-0280,APPLICATION_SERVICE,2024-01-01T04:27:00+00:00,AP-SOUTH,Data,MEDIUM,request timeout,BURST,CROSS_PLATFORM,TEAM-0040,False,UNKNOWN,Request Timeout affecting Application Service 0280,CLOSED,SYNTHETIC
INC-000016,EP-000016,OBS-000016,SVC-0287,APPLICATION_SERVICE,2024-01-01T04:44:00+00:00,US-WEST,HR,MEDIUM,queue delay,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0047,False,NOT_CHECKED,Queue Delay affecting Application Service 0287,CLOSED,SYNTHETIC
INC-000017,EP-000017,OBS-000017,SVC-0009,APPLICATION_SERVICE,2024-01-01T05:01:00+00:00,AP-NORTHEAST,Commerce,MEDIUM,request timeout,BURST,CROSS_PLATFORM,TEAM-0009,False,NOT_CHECKED,Request Timeout affecting Application Service 0009,CLOSED,SYNTHETIC
INC-000018,EP-000018,OBS-000018,SVC-0065,APPLICATION_SERVICE,2024-01-01T05:18:00+00:00,AP-NORTHEAST,Engineering,HIGH,service degradation,STEP,CROSS_PLATFORM,TEAM-0065,False,NOT_CHECKED,Service Degradation affecting Application Service 0065,CLOSED,SYNTHETIC
