outcome_id,incident_id,episode_id,known_error_id,scenario_pattern,entity_id,recommendation,approval_decision,human_modification,action_performed,outcome,recovery_minutes,recurrence_within_24h,prior_confidence,evidence_usefulness_score,recorded_at,data_classification
OUT-000001,INC-000001,EP-000001,KE-0011,CONFIGURATION_DRIFT,POL-0031,RESTART_COMPONENT,APPROVED,,RESTART_COMPONENT,NOT_RESOLVED,569,False,,0.384,2024-01-01T09:58:00+00:00,SYNTHETIC
OUT-000002,INC-000002,EP-000002,KE-0012,CAPACITY_EXHAUSTION,DATA-0028,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,98,False,,0.864,2024-01-01T02:24:00+00:00,SYNTHETIC
OUT-000003,INC-000003,EP-000003,KE-0012,CAPACITY_EXHAUSTION,DATA-0035,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,NOT_RESOLVED,581,False,,0.482,2024-01-01T10:44:00+00:00,SYNTHETIC
OUT-000004,INC-000004,EP-000004,KE-0013,CERTIFICATE_EXPIRY,POL-0065,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,104,False,,0.881,2024-01-01T03:04:00+00:00,SYNTHETIC
OUT-000005,INC-000005,EP-000005,KE-0013,CERTIFICATE_EXPIRY,POL-0002,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,80,False,,0.931,2024-01-01T02:57:00+00:00,SYNTHETIC
OUT-000006,INC-000006,EP-000006,KE-0013,CERTIFICATE_EXPIRY,POL-0009,ROTATE_CERTIFICATE,APPROVED,CHANGED_REMEDIATION,ROTATE_CERTIFICATE,RESOLVED,90,False,,0.603,2024-01-01T03:24:00+00:00,SYNTHETIC
OUT-000007,INC-000007,EP-000007,KE-0014,IDENTITY_DEGRADATION,VENDOR-0042,CLEAR_CLIENT_CACHE,APPROVED,,CLEAR_CLIENT_CACHE,NOT_RESOLVED,504,False,,0.899,2024-01-01T10:35:00+00:00,SYNTHETIC
OUT-000008,INC-000008,EP-000008,KE-0014,IDENTITY_DEGRADATION,VENDOR-0049,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,27,False,,0.535,2024-01-01T02:55:00+00:00,SYNTHETIC
OUT-000009,INC-000009,EP-000009,KE-0014,IDENTITY_DEGRADATION,VENDOR-0056,RESTORE_IDENTITY_DEPENDENCY,REJECTED,,,NOT_EXECUTED,0,False,,0.0,2024-01-01T03:05:00+00:00,SYNTHETIC
OUT-000010,INC-000010,EP-000010,KE-0014,IDENTITY_DEGRADATION,VENDOR-0003,RESTORE_IDENTITY_DEPENDENCY,APPROVED,CHANGED_REMEDIATION,RESTORE_IDENTITY_DEPENDENCY,NOT_RESOLVED,142,False,,0.939,2024-01-01T05:24:00+00:00,SYNTHETIC
OUT-000011,INC-000011,EP-000011,KE-0015,NETWORK_PATH_DEGRADATION,INFRA-0099,RESTART_APPLICATION,APPROVED,,RESTART_APPLICATION,NOT_RESOLVED,294,False,,0.782,2024-01-01T08:13:00+00:00,SYNTHETIC
OUT-000012,INC-000012,EP-000012,KE-0016,EXTERNAL_VENDOR_OUTAGE,VENDOR-0016,RESTART_INTERNAL_SERVICE,APPROVED,,RESTART_INTERNAL_SERVICE,NOT_RESOLVED,462,False,,0.475,2024-01-01T11:18:00+00:00,SYNTHETIC
OUT-000013,INC-000013,EP-000013,KE-0016,EXTERNAL_VENDOR_OUTAGE,VENDOR-0023,WAIT_AND_FAILOVER,APPROVED,CHANGED_REMEDIATION,WAIT_AND_FAILOVER,RESOLVED,103,False,,0.583,2024-01-01T05:36:00+00:00,SYNTHETIC
OUT-000014,INC-000014,EP-000014,KE-0017,SOFTWARE_REGRESSION,COMP-0273,ROLLBACK_RELEASE,APPROVED,,ROLLBACK_RELEASE,RESOLVED,126,False,,0.502,2024-01-01T06:16:00+00:00,SYNTHETIC
OUT-000015,INC-000015,EP-000015,KE-0017,SOFTWARE_REGRESSION,COMP-0280,ROLLBACK_RELEASE,APPROVED,,ROLLBACK_RELEASE,RESOLVED,113,False,,0.831,2024-01-01T06:20:00+00:00,SYNTHETIC
OUT-000016,INC-000016,EP-000016,KE-0017,SOFTWARE_REGRESSION,COMP-0287,ROLLBACK_RELEASE,APPROVED,CHANGED_REMEDIATION,ROLLBACK_RELEASE,RESOLVED,142,False,,0.782,2024-01-01T07:06:00+00:00,SYNTHETIC
OUT-000017,INC-000017,EP-000017,KE-0018,DATA_STORE_CONTENTION,DATA-0130,TERMINATE_BLOCKING_WORKLOAD,APPROVED,,TERMINATE_BLOCKING_WORKLOAD,RESOLVED,43,False,,0.421,2024-01-01T05:44:00+00:00,SYNTHETIC
OUT-000018,INC-000018,EP-000018,KE-0018,DATA_STORE_CONTENTION,DATA-0137,TERMINATE_BLOCKING_WORKLOAD,APPROVED,,TERMINATE_BLOCKING_WORKLOAD,RESOLVED,51,False,,0.932,2024-01-01T06:09:00+00:00,SYNTHETIC
OUT-000019,INC-000019,EP-000019,KE-0018,DATA_STORE_CONTENTION,DATA-0144,TERMINATE_BLOCKING_WORKLOAD,APPROVED,,TERMINATE_BLOCKING_WORKLOAD,RESOLVED,117,True,,0.468,2024-01-01T07:32:00+00:00,SYNTHETIC
OUT-000020,INC-000020,EP-000020,KE-0018,DATA_STORE_CONTENTION,DATA-0151,RESTART_DATABASE,APPROVED,,RESTART_DATABASE,NOT_RESOLVED,139,False,,0.787,2024-01-01T08:11:00+00:00,SYNTHETIC
OUT-000021,INC-000021,EP-000021,KE-0019,QUEUE_BACKLOG,DATA-0147,SCALE_CONSUMERS,APPROVED,,SCALE_CONSUMERS,RESOLVED,153,False,,0.861,2024-01-01T08:42:00+00:00,SYNTHETIC
OUT-000022,INC-000022,EP-000022,KE-0020,SECURE_GATEWAY_POLICY,POL-0044,RESTART_GATEWAY,APPROVED,,RESTART_GATEWAY,NOT_RESOLVED,143,False,,0.463,2024-01-01T08:49:00+00:00,SYNTHETIC
OUT-000023,INC-000023,EP-000023,KE-0020,SECURE_GATEWAY_POLICY,POL-0051,ROLLBACK_GATEWAY_POLICY,APPROVED,,ROLLBACK_GATEWAY_POLICY,RESOLVED,41,False,,0.683,2024-01-01T07:24:00+00:00,SYNTHETIC
OUT-000024,INC-000024,EP-000024,KE-0021,CONFIGURATION_DRIFT,INFRA-0061,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,138,False,,0.504,2024-01-01T09:18:00+00:00,SYNTHETIC
OUT-000025,INC-000025,EP-000025,KE-0021,CONFIGURATION_DRIFT,INFRA-0068,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,94,True,,0.562,2024-01-01T08:51:00+00:00,SYNTHETIC
OUT-000026,INC-000026,EP-000026,KE-0021,CONFIGURATION_DRIFT,INFRA-0075,RESTORE_GOVERNED_CONFIGURATION,REJECTED,,,NOT_EXECUTED,0,False,,0.0,2024-01-01T07:54:00+00:00,SYNTHETIC
OUT-000027,INC-000027,EP-000027,KE-0022,CAPACITY_EXHAUSTION,COMP-0358,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,41,False,,0.843,2024-01-01T08:32:00+00:00,SYNTHETIC
OUT-000028,INC-000028,EP-000028,KE-0022,CAPACITY_EXHAUSTION,COMP-0365,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,51,False,,0.617,2024-01-01T08:59:00+00:00,SYNTHETIC
OUT-000029,INC-000029,EP-000029,KE-0022,CAPACITY_EXHAUSTION,COMP-0372,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,118,False,,0.561,2024-01-01T10:23:00+00:00,SYNTHETIC
OUT-000030,INC-000030,EP-000030,KE-0022,CAPACITY_EXHAUSTION,COMP-0379,SCALE_CAPACITY,APPROVED,CHANGED_REMEDIATION,SCALE_CAPACITY,RESOLVED,75,False,,0.377,2024-01-01T09:57:00+00:00,SYNTHETIC
OUT-000031,INC-000031,EP-000031,KE-0023,CERTIFICATE_EXPIRY,INFRA-0095,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,175,False,,0.732,2024-01-01T11:54:00+00:00,SYNTHETIC
OUT-000032,INC-000032,EP-000032,KE-0024,IDENTITY_DEGRADATION,VENDOR-0032,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,61,False,,0.563,2024-01-01T10:17:00+00:00,SYNTHETIC
OUT-000033,INC-000033,EP-000033,KE-0024,IDENTITY_DEGRADATION,VENDOR-0039,RESTORE_IDENTITY_DEPENDENCY,APPROVED,CHANGED_REMEDIATION,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,14,False,,0.642,2024-01-01T09:53:00+00:00,SYNTHETIC
OUT-000034,INC-000034,EP-000034,KE-0025,NETWORK_PATH_DEGRADATION,INFRA-0129,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,182,False,,0.366,2024-01-01T12:52:00+00:00,SYNTHETIC
OUT-000035,INC-000035,EP-000035,KE-0025,NETWORK_PATH_DEGRADATION,INFRA-0136,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,36,True,,0.582,2024-01-01T10:43:00+00:00,SYNTHETIC
OUT-000036,INC-000036,EP-000036,KE-0025,NETWORK_PATH_DEGRADATION,INFRA-0003,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,98,False,,0.497,2024-01-01T12:02:00+00:00,SYNTHETIC
OUT-000037,INC-000037,EP-000037,KE-0026,EXTERNAL_VENDOR_OUTAGE,VENDOR-0006,WAIT_AND_FAILOVER,REJECTED,,,NOT_EXECUTED,0,False,,0.0,2024-01-01T11:01:00+00:00,SYNTHETIC
OUT-000038,INC-000038,EP-000038,KE-0026,EXTERNAL_VENDOR_OUTAGE,VENDOR-0013,WAIT_AND_FAILOVER,APPROVED,CHANGED_REMEDIATION,WAIT_AND_FAILOVER,RESOLVED,121,False,,0.506,2024-01-01T12:59:00+00:00,SYNTHETIC
OUT-000039,INC-000039,EP-000039,KE-0026,EXTERNAL_VENDOR_OUTAGE,VENDOR-0020,RESTART_INTERNAL_SERVICE,APPROVED,,RESTART_INTERNAL_SERVICE,NOT_RESOLVED,413,False,,0.357,2024-01-01T18:08:00+00:00,SYNTHETIC
OUT-000040,INC-000040,EP-000040,KE-0026,EXTERNAL_VENDOR_OUTAGE,VENDOR-0027,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,14,False,,0.446,2024-01-01T11:52:00+00:00,SYNTHETIC
OUT-000041,INC-000041,EP-000041,KE-0027,SOFTWARE_REGRESSION,COMP-0443,ROLLBACK_RELEASE,APPROVED,CHANGED_REMEDIATION,ROLLBACK_RELEASE,RESOLVED,89,False,,0.641,2024-01-01T13:18:00+00:00,SYNTHETIC
OUT-000042,INC-000042,EP-000042,KE-0028,DATA_STORE_CONTENTION,DATA-0140,TERMINATE_BLOCKING_WORKLOAD,APPROVED,,TERMINATE_BLOCKING_WORKLOAD,NOT_RESOLVED,410,False,,0.727,2024-01-01T18:56:00+00:00,SYNTHETIC
OUT-000043,INC-000043,EP-000043,KE-0028,DATA_STORE_CONTENTION,DATA-0147,TERMINATE_BLOCKING_WORKLOAD,APPROVED,,TERMINATE_BLOCKING_WORKLOAD,RESOLVED,16,False,,0.525,2024-01-01T12:43:00+00:00,SYNTHETIC
OUT-000044,INC-000044,EP-000044,KE-0029,QUEUE_BACKLOG,DATA-0157,SCALE_CONSUMERS,APPROVED,,SCALE_CONSUMERS,RESOLVED,91,False,,0.655,2024-01-01T14:11:00+00:00,SYNTHETIC
OUT-000045,INC-000045,EP-000045,KE-0029,QUEUE_BACKLOG,DATA-0004,PURGE_QUEUE,APPROVED,,PURGE_QUEUE,NOT_RESOLVED,537,False,,0.822,2024-01-01T21:54:00+00:00,SYNTHETIC
OUT-000046,INC-000046,EP-000046,KE-0029,QUEUE_BACKLOG,DATA-0011,SCALE_CONSUMERS,APPROVED,,SCALE_CONSUMERS,RESOLVED,180,False,,0.427,2024-01-01T16:14:00+00:00,SYNTHETIC
OUT-000047,INC-000047,EP-000047,KE-0030,SECURE_GATEWAY_POLICY,POL-0004,RESTART_GATEWAY,APPROVED,,RESTART_GATEWAY,NOT_RESOLVED,462,False,,0.626,2024-01-01T21:13:00+00:00,SYNTHETIC
OUT-000048,INC-000048,EP-000048,KE-0030,SECURE_GATEWAY_POLICY,POL-0011,ROLLBACK_GATEWAY_POLICY,APPROVED,,ROLLBACK_GATEWAY_POLICY,RESOLVED,91,False,,0.53,2024-01-01T15:19:00+00:00,SYNTHETIC
OUT-000049,INC-000049,EP-000049,KE-0030,SECURE_GATEWAY_POLICY,POL-0018,RESTART_GATEWAY,APPROVED,,RESTART_GATEWAY,NOT_RESOLVED,256,False,,0.791,2024-01-01T18:21:00+00:00,SYNTHETIC
OUT-000050,INC-000050,EP-000050,KE-0030,SECURE_GATEWAY_POLICY,POL-0025,ROLLBACK_GATEWAY_POLICY,APPROVED,,ROLLBACK_GATEWAY_POLICY,NOT_RESOLVED,106,False,,0.357,2024-01-01T16:08:00+00:00,SYNTHETIC
OUT-000051,INC-000051,EP-000051,KE-0031,CONFIGURATION_DRIFT,COMP-0011,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,63,False,,0.396,2024-01-01T15:42:00+00:00,SYNTHETIC
OUT-000052,INC-000052,EP-000052,KE-0031,CONFIGURATION_DRIFT,COMP-0018,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,151,False,,0.358,2024-01-01T17:27:00+00:00,SYNTHETIC
OUT-000053,INC-000053,EP-000053,KE-0031,CONFIGURATION_DRIFT,COMP-0025,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,118,False,,0.724,2024-01-01T17:11:00+00:00,SYNTHETIC
OUT-000054,INC-000054,EP-000054,KE-0031,CONFIGURATION_DRIFT,COMP-0032,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,105,False,,0.759,2024-01-01T17:15:00+00:00,SYNTHETIC
OUT-000055,INC-000055,EP-000055,KE-0031,CONFIGURATION_DRIFT,COMP-0039,RESTORE_GOVERNED_CONFIGURATION,APPROVED,,RESTORE_GOVERNED_CONFIGURATION,RESOLVED,108,False,,0.497,2024-01-01T17:35:00+00:00,SYNTHETIC
OUT-000056,INC-000056,EP-000056,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0178,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,152,False,,0.605,2024-01-01T18:36:00+00:00,SYNTHETIC
OUT-000057,INC-000057,EP-000057,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0185,SCALE_CAPACITY,APPROVED,CHANGED_REMEDIATION,SCALE_CAPACITY,RESOLVED,43,False,,0.433,2024-01-01T17:04:00+00:00,SYNTHETIC
