relationship_id,source_entity_id,relationship_type,target_entity_id,relationship_authority,confidence,lifecycle_status,data_classification
REL-000001,CAP-0001,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000002,CAP-0002,CONTRIBUTES_TO,BO-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000003,CAP-0003,CONTRIBUTES_TO,BO-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000004,CAP-0004,CONTRIBUTES_TO,BO-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000005,CAP-0005,CONTRIBUTES_TO,BO-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000006,CAP-0006,CONTRIBUTES_TO,BO-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000007,CAP-0007,CONTRIBUTES_TO,BO-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000008,CAP-0008,CONTRIBUTES_TO,BO-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000009,CAP-0009,CONTRIBUTES_TO,BO-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000010,CAP-0010,CONTRIBUTES_TO,BO-0010,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000011,CAP-0011,CONTRIBUTES_TO,BO-0011,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000012,CAP-0012,CONTRIBUTES_TO,BO-0012,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000013,CAP-0013,CONTRIBUTES_TO,BO-0013,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000014,CAP-0014,CONTRIBUTES_TO,BO-0014,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000015,CAP-0015,CONTRIBUTES_TO,BO-0015,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000016,CAP-0016,CONTRIBUTES_TO,BO-0016,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000017,CAP-0017,CONTRIBUTES_TO,BO-0017,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
