ambiguity_family_id,episode_a,episode_b,cause_a,cause_b,shared_trigger_entity_id,root_a,root_b,shared_prefix_until,canonical_prefix_hash,expected_pre_reveal_disposition,expected_post_reveal_divergence
AMB-001,EP-049953,EP-049954,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0001,VENDOR-0001,2025-08-12T17:51:00+00:00,e58555a83df8f771090883204b7f2a3a11eee53b509bdd371f854cc6b82d7256,GOVERNED_UNCERTAINTY,True
AMB-002,EP-049955,EP-049956,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0001,INFRA-0001,2025-08-12T18:25:00+00:00,0ec8c4945f3507ae009b770cd8bc8879f7dfc6ec2ab476d62de10999ed1ef71e,GOVERNED_UNCERTAINTY,True
AMB-003,EP-049957,EP-049958,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0001,VENDOR-0038,2025-08-12T18:59:00+00:00,ea51bb934336251e83e20056b3aa9c29e10b29bb576eba9b6b51cc931bd8b350,GOVERNED_UNCERTAINTY,True
AMB-004,EP-049959,EP-049960,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0001,INFRA-0001,2025-08-12T19:33:00+00:00,12272dba1a5b5f0754f3a3c96fcdd91c6c6657231825bf5c93bfede9f9fb1ede,GOVERNED_UNCERTAINTY,True
AMB-005,EP-049961,EP-049962,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0001,VENDOR-0058,2025-08-12T20:07:00+00:00,3eaee868fbf4e564457dfa8d9c6fd5edb599bd102f5a80f0b6c1f26ee2db244b,GOVERNED_UNCERTAINTY,True
AMB-006,EP-049963,EP-049964,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0006,INFRA-0006,2025-08-12T20:41:00+00:00,8c3498fb1672a9af9f65b8989c1d855921f54f0480180724b67433637dc56403,GOVERNED_UNCERTAINTY,True
AMB-007,EP-049965,EP-049966,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0006,VENDOR-0048,2025-08-12T21:15:00+00:00,db26db8c3412b66023695066aa34016c88c3791807c089aea26f66f7a7e97c0d,GOVERNED_UNCERTAINTY,True
AMB-008,EP-049967,EP-049968,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0006,INFRA-0006,2025-08-12T21:49:00+00:00,f1fe037b775185246954efd0293dab449faa016aacce47aa1e9e051135579e15,GOVERNED_UNCERTAINTY,True
AMB-009,EP-049969,EP-049970,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0006,VENDOR-0037,2025-08-12T22:23:00+00:00,dc55c467944595c0ef1d98f6a3c602d6c5ace54f055a4e8225f3bf9e69dba4ce,GOVERNED_UNCERTAINTY,True
AMB-010,EP-049971,EP-049972,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0006,INFRA-0006,2025-08-12T22:57:00+00:00,8f4d2370d9f1ad5570b49a45437e59961a310621e42828b9346b08b3d7f13452,GOVERNED_UNCERTAINTY,True
AMB-011,EP-049973,EP-049974,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0062,VENDOR-0001,2025-08-12T23:31:00+00:00,80317c5c55404f66b9ebcc727c8290c3aa191e3ab886e2f5dfdb63eae5f38b61,GOVERNED_UNCERTAINTY,True
AMB-012,EP-049975,EP-049976,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0062,INFRA-0062,2025-08-13T00:05:00+00:00,9cc50d26e1d73892426184bd8640aeff63ca467d36defdce315b50a0149719ac,GOVERNED_UNCERTAINTY,True
AMB-013,EP-049977,EP-049978,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0062,VENDOR-0038,2025-08-13T00:39:00+00:00,9fbc0403fc0c7c0925f7b22a9fd7d776f29f3394d28b838d7d5bb27c1fd92778,GOVERNED_UNCERTAINTY,True
AMB-014,EP-049979,EP-049980,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0062,INFRA-0062,2025-08-13T01:13:00+00:00,f029808476ce951e27e18eed597815ee389b862363c95a9a1e759a46c3999582,GOVERNED_UNCERTAINTY,True
AMB-015,EP-049981,EP-049982,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0062,VENDOR-0058,2025-08-13T01:47:00+00:00,aeb1e4a0eea0aa665bca86e3c44eeabfcac2fcb51fbe4f39d8dddc2301eb36e1,GOVERNED_UNCERTAINTY,True
AMB-016,EP-049983,EP-049984,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0130,INFRA-0130,2025-08-13T02:21:00+00:00,dff1ffc8276783d27d9f4b3fef5c11abcf70a6c6f1733e39badbcb2214267607,GOVERNED_UNCERTAINTY,True
AMB-017,EP-049985,EP-049986,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0130,VENDOR-0048,2025-08-13T02:55:00+00:00,58284fb1d411a8025b59b6e2169e18e3300b24ca5ff7a93b2c9612c491e3e213,GOVERNED_UNCERTAINTY,True
AMB-018,EP-049987,EP-049988,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0130,INFRA-0130,2025-08-13T03:29:00+00:00,bfc0d161a490f1eb925da5c37f0093c4fbbc562243f319428f571fe0a3c0c09a,GOVERNED_UNCERTAINTY,True
AMB-019,EP-049989,EP-049990,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0001,INFRA-0130,VENDOR-0037,2025-08-13T04:03:00+00:00,c93cc6a822673f39161842a8098a56b7766ed6bb32c771475df841d65f0417f2,GOVERNED_UNCERTAINTY,True
AMB-020,EP-049991,EP-049992,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0001,INFRA-0130,INFRA-0130,2025-08-13T04:37:00+00:00,7005e6a43b6e269ef671244a0650a7a727d14a5f9fe6e62a67361e9da643f344,GOVERNED_UNCERTAINTY,True
AMB-021,EP-049993,EP-049994,SECURE_GATEWAY_POLICY,EXTERNAL_VENDOR_OUTAGE,SVC-0002,INFRA-0101,VENDOR-0005,2025-08-13T05:11:00+00:00,16658b9187c58ffb384c5d71e8975f95cfb873551e67c2477919784b27266ee5,GOVERNED_UNCERTAINTY,True
AMB-022,EP-049995,EP-049996,IDENTITY_DEGRADATION,CERTIFICATE_EXPIRY,SVC-0002,INFRA-0101,INFRA-0101,2025-08-13T05:45:00+00:00,fc1b4806cabf083be81afaa7ae0e1d1493fbf7ced29c2004ac575c26f0b18bd2,GOVERNED_UNCERTAINTY,True
