episode_id,incident_id,true_cause_family,true_root_entity_id,true_pattern_id,correct_remediation,propagation_targets,change_id,cause_selection_stream,background_stream,data_classification
EP-000001,INC-000001,CONFIGURATION_DRIFT,POL-0031,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0051"", ""COMP-0062"", ""COMP-0079"", ""COMP-0150"", ""COMP-0358"", ""COMP-0361"", ""COMP-0367"", ""COMP-0386"", ""INFRA-0031"", ""INFRA-0101"", ""SVC-0019"", ""SVC-0055"", ""SVC-0232""]",,cause:10:0,background:EP-000001,SYNTHETIC
EP-000002,INC-000002,CAPACITY_EXHAUSTION,DATA-0028,KE-0012,SCALE_CAPACITY,"[""COMP-0097"", ""COMP-0236"", ""COMP-0353"", ""COMP-0458"", ""COMP-0490"", ""DATA-0004"", ""DATA-0008"", ""DATA-0009"", ""DATA-0014"", ""DATA-0017"", ""DATA-0020"", ""DATA-0036"", ""DATA-0038"", ""DATA-0042"", ""DATA-0047"", ""DATA-0057"", ""DATA-0069"", ""DATA-0072"", ""DATA-0086"", ""DATA-0121"", ""DATA-0128"", ""DATA-0135"", ""DATA-0144"", ""SVC-0097""]",,cause:11:0,background:EP-000002,SYNTHETIC
EP-000003,INC-000003,CAPACITY_EXHAUSTION,DATA-0035,KE-0012,SCALE_CAPACITY,"[""COMP-0035"", ""COMP-0046"", ""COMP-0195"", ""COMP-0297"", ""COMP-0355"", ""COMP-0449"", ""COMP-0471"", ""DATA-0002"", ""DATA-0017"", ""DATA-0045"", ""DATA-0060"", ""DATA-0065"", ""DATA-0069"", ""DATA-0071"", ""DATA-0075"", ""DATA-0083"", ""DATA-0089"", ""DATA-0094"", ""DATA-0096"", ""DATA-0099"", ""DATA-0135"", ""DATA-0137"", ""DATA-0144"", ""DATA-0150"", ""SVC-0035""]",,cause:11:1,background:EP-000003,SYNTHETIC
EP-000004,INC-000004,CERTIFICATE_EXPIRY,POL-0065,KE-0013,ROTATE_CERTIFICATE,"[""COMP-0210"", ""COMP-0214"", ""COMP-0364"", ""COMP-0453"", ""COMP-0480"", ""INFRA-0065"", ""INFRA-0135"", ""SVC-0064"", ""SVC-0072"", ""SVC-0125"", ""SVC-0224"", ""SVC-0243""]",,cause:12:0,background:EP-000004,SYNTHETIC
EP-000005,INC-000005,CERTIFICATE_EXPIRY,POL-0002,KE-0013,ROTATE_CERTIFICATE,"[""COMP-0041"", ""COMP-0071"", ""COMP-0164"", ""COMP-0226"", ""COMP-0243"", ""COMP-0428"", ""COMP-0466"", ""INFRA-0002"", ""INFRA-0072"", ""SVC-0035"", ""SVC-0070"", ""SVC-0088"", ""SVC-0104""]",,cause:12:1,background:EP-000005,SYNTHETIC
EP-000006,INC-000006,CERTIFICATE_EXPIRY,POL-0009,KE-0013,ROTATE_CERTIFICATE,"[""COMP-0051"", ""COMP-0231"", ""COMP-0332"", ""COMP-0445"", ""COMP-0494"", ""INFRA-0009"", ""INFRA-0079"", ""SVC-0002"", ""SVC-0104"", ""SVC-0171"", ""SVC-0197"", ""SVC-0254"", ""SVC-0257""]",,cause:12:2,background:EP-000006,SYNTHETIC
EP-000007,INC-000007,IDENTITY_DEGRADATION,VENDOR-0042,KE-0014,RESTORE_IDENTITY_DEPENDENCY,"[""SVC-0036"", ""SVC-0048"", ""SVC-0087"", ""SVC-0112"", ""SVC-0120"", ""SVC-0122"", ""SVC-0157"", ""SVC-0192"", ""SVC-0207"", ""SVC-0221"", ""SVC-0275"", ""SVC-0298""]",,cause:13:0,background:EP-000007,SYNTHETIC
EP-000008,INC-000008,IDENTITY_DEGRADATION,VENDOR-0049,KE-0014,RESTORE_IDENTITY_DEPENDENCY,"[""SVC-0010"", ""SVC-0038"", ""SVC-0049"", ""SVC-0087"", ""SVC-0097"", ""SVC-0109"", ""SVC-0111"", ""SVC-0147"", ""SVC-0169"", ""SVC-0229"", ""SVC-0274"", ""SVC-0289""]",CHG-000008,cause:13:1,background:EP-000008,SYNTHETIC
EP-000009,INC-000009,IDENTITY_DEGRADATION,VENDOR-0056,KE-0014,RESTORE_IDENTITY_DEPENDENCY,"[""SVC-0002"", ""SVC-0020"", ""SVC-0047"", ""SVC-0053"", ""SVC-0095"", ""SVC-0098"", ""SVC-0103"", ""SVC-0124"", ""SVC-0139"", ""SVC-0185"", ""SVC-0186"", ""SVC-0280"", ""SVC-0284""]",,cause:13:2,background:EP-000009,SYNTHETIC
EP-000010,INC-000010,IDENTITY_DEGRADATION,VENDOR-0003,KE-0014,RESTORE_IDENTITY_DEPENDENCY,"[""SVC-0015"", ""SVC-0021"", ""SVC-0026"", ""SVC-0049"", ""SVC-0062"", ""SVC-0105"", ""SVC-0140"", ""SVC-0184"", ""SVC-0204"", ""SVC-0209"", ""SVC-0212"", ""SVC-0247""]",CHG-000010,cause:13:3,background:EP-000010,SYNTHETIC
EP-000011,INC-000011,NETWORK_PATH_DEGRADATION,INFRA-0099,KE-0015,REROUTE_TRAFFIC,"[""APP-0084"", ""CAP-0090"", ""CLOUD-0219"", ""COMP-0379"", ""POL-0029"", ""SVC-0004"", ""SVC-0027"", ""SVC-0057"", ""SVC-0060"", ""SVC-0065"", ""SVC-0075"", ""SVC-0092"", ""SVC-0129"", ""SVC-0145"", ""SVC-0160"", ""SVC-0173"", ""SVC-0185"", ""SVC-0244"", ""SVC-0264"", ""SVC-0286"", ""SVC-0300"", ""TEAM-0024"", ""TEAM-0077"", ""VENDOR-0059""]",,cause:14:0,background:EP-000011,SYNTHETIC
EP-000012,INC-000012,EXTERNAL_VENDOR_OUTAGE,VENDOR-0016,KE-0016,WAIT_AND_FAILOVER,"[""SVC-0010"", ""SVC-0016"", ""SVC-0049"", ""SVC-0078"", ""SVC-0124"", ""SVC-0146"", ""SVC-0150"", ""SVC-0183"", ""SVC-0210"", ""SVC-0266"", ""SVC-0270"", ""SVC-0299""]",,cause:15:0,background:EP-000012,SYNTHETIC
EP-000013,INC-000013,EXTERNAL_VENDOR_OUTAGE,VENDOR-0023,KE-0016,WAIT_AND_FAILOVER,"[""SVC-0028"", ""SVC-0036"", ""SVC-0103"", ""SVC-0110"", ""SVC-0115"", ""SVC-0119"", ""SVC-0127"", ""SVC-0163"", ""SVC-0168"", ""SVC-0194"", ""SVC-0216"", ""SVC-0222""]",,cause:15:1,background:EP-000013,SYNTHETIC
EP-000014,INC-000014,SOFTWARE_REGRESSION,COMP-0273,KE-0017,ROLLBACK_RELEASE,"[""APP-0093"", ""CAP-0017"", ""CLOUD-0273"", ""COMP-0136"", ""COMP-0177"", ""COMP-0180"", ""COMP-0351"", ""COMP-0400"", ""COMP-0434"", ""DATA-0031"", ""DATA-0057"", ""DATA-0096"", ""DATA-0113"", ""POL-0001"", ""POL-0002"", ""POL-0017"", ""POL-0018"", ""POL-0023"", ""POL-0024"", ""POL-0040"", ""POL-0070"", ""SVC-0273"", ""TEAM-0033"", ""VENDOR-0033""]",CHG-000014,cause:16:0,background:EP-000014,SYNTHETIC
EP-000015,INC-000015,SOFTWARE_REGRESSION,COMP-0280,KE-0017,ROLLBACK_RELEASE,"[""APP-0100"", ""CAP-0038"", ""CLOUD-0280"", ""COMP-0006"", ""COMP-0084"", ""COMP-0164"", ""COMP-0216"", ""COMP-0289"", ""COMP-0361"", ""DATA-0044"", ""DATA-0059"", ""DATA-0095"", ""DATA-0137"", ""DATA-0148"", ""INFRA-0140"", ""POL-0013"", ""POL-0014"", ""POL-0026"", ""POL-0037"", ""POL-0046"", ""POL-0057"", ""POL-0058"", ""POL-0063"", ""SVC-0280""]",,cause:16:1,background:EP-000015,SYNTHETIC
EP-000016,INC-000016,SOFTWARE_REGRESSION,COMP-0287,KE-0017,ROLLBACK_RELEASE,"[""APP-0107"", ""CAP-0059"", ""CLOUD-0287"", ""COMP-0049"", ""COMP-0085"", ""COMP-0153"", ""COMP-0331"", ""COMP-0376"", ""DATA-0077"", ""DATA-0124"", ""DATA-0127"", ""INFRA-0097"", ""POL-0007"", ""POL-0013"", ""POL-0019"", ""POL-0027"", ""POL-0037"", ""POL-0038"", ""POL-0054"", ""POL-0063"", ""SVC-0008"", ""SVC-0229"", ""SVC-0287"", ""TEAM-0047""]",,cause:16:2,background:EP-000016,SYNTHETIC
EP-000017,INC-000017,DATA_STORE_CONTENTION,DATA-0130,KE-0018,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0009"", ""COMP-0098"", ""COMP-0134"", ""COMP-0331"", ""COMP-0416"", ""COMP-0472"", ""COMP-0489"", ""COMP-0495"", ""DATA-0009"", ""DATA-0043"", ""DATA-0052"", ""DATA-0078"", ""DATA-0086"", ""DATA-0091"", ""DATA-0097"", ""DATA-0100"", ""DATA-0103"", ""DATA-0106"", ""DATA-0109"", ""DATA-0119"", ""DATA-0141"", ""DATA-0144"", ""DATA-0157"", ""DATA-0158"", ""SVC-0009""]",,cause:17:0,background:EP-000017,SYNTHETIC
EP-000018,INC-000018,DATA_STORE_CONTENTION,DATA-0137,KE-0018,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0117"", ""COMP-0137"", ""COMP-0169"", ""COMP-0226"", ""COMP-0280"", ""COMP-0297"", ""COMP-0354"", ""COMP-0457"", ""DATA-0015"", ""DATA-0028"", ""DATA-0035"", ""DATA-0044"", ""DATA-0048"", ""DATA-0050"", ""DATA-0068"", ""DATA-0071"", ""DATA-0094"", ""DATA-0097"", ""DATA-0101"", ""DATA-0108"", ""DATA-0114"", ""DATA-0122"", ""DATA-0140"", ""DATA-0149"", ""SVC-0065""]",,cause:17:1,background:EP-000018,SYNTHETIC
EP-000019,INC-000019,DATA_STORE_CONTENTION,DATA-0144,KE-0018,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0020"", ""COMP-0285"", ""COMP-0347"", ""COMP-0389"", ""COMP-0480"", ""DATA-0001"", ""DATA-0002"", ""DATA-0004"", ""DATA-0009"", ""DATA-0011"", ""DATA-0028"", ""DATA-0035"", ""DATA-0067"", ""DATA-0071"", ""DATA-0082"", ""DATA-0098"", ""DATA-0100"", ""DATA-0103"", ""DATA-0107"", ""DATA-0115"", ""DATA-0123"", ""DATA-0130"", ""DATA-0133"", ""DATA-0139"", ""SVC-0020""]",,cause:17:2,background:EP-000019,SYNTHETIC
EP-000020,INC-000020,DATA_STORE_CONTENTION,DATA-0151,KE-0018,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0063"", ""COMP-0131"", ""COMP-0151"", ""COMP-0200"", ""COMP-0286"", ""COMP-0311"", ""COMP-0361"", ""COMP-0376"", ""COMP-0471"", ""COMP-0474"", ""DATA-0001"", ""DATA-0047"", ""DATA-0079"", ""DATA-0080"", ""DATA-0082"", ""DATA-0084"", ""DATA-0101"", ""DATA-0104"", ""DATA-0133"", ""DATA-0138"", ""DATA-0146"", ""DATA-0150"", ""DATA-0156"", ""SVC-0063""]",,cause:17:3,background:EP-000020,SYNTHETIC
EP-000021,INC-000021,QUEUE_BACKLOG,DATA-0147,KE-0019,SCALE_CONSUMERS,"[""COMP-0147"", ""COMP-0223"", ""COMP-0296"", ""COMP-0307"", ""COMP-0320"", ""COMP-0384"", ""COMP-0454"", ""COMP-0467"", ""DATA-0013"", ""DATA-0024"", ""DATA-0025"", ""DATA-0034"", ""DATA-0048"", ""DATA-0054"", ""DATA-0068"", ""DATA-0100"", ""DATA-0106"", ""DATA-0114"", ""DATA-0125"", ""DATA-0131"", ""DATA-0142"", ""DATA-0152"", ""POL-0033"", ""POL-0051"", ""SVC-0147""]",,cause:18:0,background:EP-000021,SYNTHETIC
EP-000022,INC-000022,SECURE_GATEWAY_POLICY,POL-0044,KE-0020,ROLLBACK_GATEWAY_POLICY,"[""COMP-0084"", ""COMP-0188"", ""COMP-0243"", ""INFRA-0044"", ""INFRA-0114"", ""SVC-0002"", ""SVC-0019"", ""SVC-0032"", ""SVC-0043"", ""SVC-0105"", ""SVC-0215"", ""SVC-0257"", ""SVC-0290""]",,cause:19:0,background:EP-000022,SYNTHETIC
EP-000023,INC-000023,SECURE_GATEWAY_POLICY,POL-0051,KE-0020,ROLLBACK_GATEWAY_POLICY,"[""COMP-0147"", ""COMP-0267"", ""COMP-0396"", ""COMP-0445"", ""INFRA-0051"", ""INFRA-0121"", ""SVC-0001"", ""SVC-0024"", ""SVC-0061"", ""SVC-0072"", ""SVC-0143"", ""SVC-0178"", ""SVC-0194""]",,cause:19:1,background:EP-000023,SYNTHETIC
EP-000024,INC-000024,CONFIGURATION_DRIFT,INFRA-0061,KE-0021,RESTORE_GOVERNED_CONFIGURATION,"[""APP-0100"", ""CAP-0098"", ""CLOUD-0250"", ""CLOUD-0331"", ""COMP-0061"", ""COMP-0481"", ""POL-0061"", ""SVC-0012"", ""SVC-0037"", ""SVC-0061"", ""SVC-0070"", ""SVC-0072"", ""SVC-0100"", ""SVC-0130"", ""SVC-0155"", ""SVC-0185"", ""SVC-0197"", ""SVC-0201"", ""SVC-0226"", ""SVC-0230"", ""SVC-0237"", ""SVC-0238"", ""SVC-0284"", ""TEAM-0001"", ""TEAM-0100""]",,cause:20:0,background:EP-000024,SYNTHETIC
EP-000025,INC-000025,CONFIGURATION_DRIFT,INFRA-0068,KE-0021,RESTORE_GOVERNED_CONFIGURATION,"[""APP-0016"", ""CAP-0086"", ""CLOUD-0074"", ""CLOUD-0195"", ""CLOUD-0333"", ""COMP-0208"", ""INFRA-0056"", ""POL-0068"", ""SVC-0005"", ""SVC-0058"", ""SVC-0070"", ""SVC-0080"", ""SVC-0109"", ""SVC-0117"", ""SVC-0128"", ""SVC-0168"", ""SVC-0182"", ""SVC-0196"", ""SVC-0213"", ""SVC-0229"", ""SVC-0241"", ""SVC-0265"", ""SVC-0280"", ""SVC-0295"", ""TEAM-0015""]",CHG-000025,cause:20:1,background:EP-000025,SYNTHETIC
EP-000026,INC-000026,CONFIGURATION_DRIFT,INFRA-0075,KE-0021,RESTORE_GOVERNED_CONFIGURATION,"[""APP-0101"", ""CAP-0001"", ""CLOUD-0019"", ""CLOUD-0052"", ""CLOUD-0065"", ""CLOUD-0083"", ""CLOUD-0167"", ""COMP-0355"", ""POL-0005"", ""SVC-0036"", ""SVC-0048"", ""SVC-0055"", ""SVC-0083"", ""SVC-0085"", ""SVC-0101"", ""SVC-0135"", ""SVC-0136"", ""SVC-0139"", ""SVC-0166"", ""SVC-0172"", ""SVC-0260"", ""SVC-0273"", ""SVC-0295"", ""TEAM-0029"", ""VENDOR-0041""]",,cause:20:2,background:EP-000026,SYNTHETIC
EP-000027,INC-000027,CAPACITY_EXHAUSTION,COMP-0358,KE-0022,SCALE_CAPACITY,"[""APP-0058"", ""CAP-0072"", ""CLOUD-0008"", ""COMP-0003"", ""COMP-0040"", ""COMP-0052"", ""COMP-0074"", ""COMP-0197"", ""COMP-0375"", ""COMP-0409"", ""DATA-0085"", ""DATA-0105"", ""INFRA-0048"", ""INFRA-0078"", ""POL-0003"", ""POL-0005"", ""POL-0031"", ""POL-0044"", ""POL-0066"", ""SVC-0058"", ""SVC-0125"", ""TEAM-0058"", ""VENDOR-0032"", ""VENDOR-0046""]",,cause:21:0,background:EP-000027,SYNTHETIC
