change_id,entity_id,implemented_at,risk,change_type,state,data_classification
CHG-000008,VENDOR-0001,2024-01-01T00:31:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000010,VENDOR-0003,2024-01-01T01:10:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000011,COMP-0013,2024-01-01T00:17:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000012,COMP-0020,2024-01-01T01:02:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000014,COMP-0004,2024-01-01T01:15:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000025,DATA-0004,2024-01-01T05:38:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000030,DATA-0009,2024-01-01T05:30:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000031,DATA-0006,2024-01-01T05:23:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000033,DATA-0010,2024-01-01T07:05:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000034,DATA-0007,2024-01-01T07:15:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000035,POL-0002,2024-01-01T08:13:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000036,POL-0001,2024-01-01T06:46:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000039,POL-0002,2024-01-01T08:41:00+00:00,HIGH,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000045,POL-0004,2024-01-01T11:35:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000048,POL-0001,2024-01-01T11:38:00+00:00,HIGH,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000049,POL-0003,2024-01-01T11:42:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000050,POL-0002,2024-01-01T11:30:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000051,POL-0001,2024-01-01T13:02:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000052,POL-0004,2024-01-01T12:24:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000053,POL-0003,2024-01-01T12:53:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000054,POL-0002,2024-01-01T14:26:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000057,POL-0003,2024-01-01T14:50:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000059,POL-0001,2024-01-01T14:33:00+00:00,HIGH,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000066,DATA-0002,2024-01-01T17:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000068,DATA-0006,2024-01-01T17:35:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000071,DATA-0007,2024-01-01T16:58:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000075,DATA-0005,2024-01-01T19:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000080,DATA-0010,2024-01-01T19:15:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000087,DATA-0009,2024-01-01T23:46:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000091,DATA-0007,2024-01-01T23:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000096,POL-0001,2024-01-02T02:04:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000098,POL-0003,2024-01-02T02:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000105,POL-0004,2024-01-02T05:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000115,POL-0002,2024-01-02T06:00:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000116,POL-0001,2024-01-02T05:48:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000119,POL-0002,2024-01-02T06:58:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
