entity_id,entity_type,name,region,business_unit,criticality,service_provider_type,trust_level,lifecycle_status,data_classification
BO-0001,BUSINESS_OUTCOME,Business Outcome 0001,GLOBAL,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0001,BUSINESS_CAPABILITY,Business Capability 0001,AP-NORTHEAST,Finance,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0002,BUSINESS_CAPABILITY,Business Capability 0002,AP-SOUTH,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0003,BUSINESS_CAPABILITY,Business Capability 0003,AP-SOUTH,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0004,BUSINESS_CAPABILITY,Business Capability 0004,LATAM,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0005,BUSINESS_CAPABILITY,Business Capability 0005,EU-WEST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0006,BUSINESS_CAPABILITY,Business Capability 0006,AP-SOUTH,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0001,BUSINESS_APPLICATION,Business Application 0001,US-EAST,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0002,BUSINESS_APPLICATION,Business Application 0002,US-WEST,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0003,BUSINESS_APPLICATION,Business Application 0003,US-WEST,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0004,BUSINESS_APPLICATION,Business Application 0004,US-WEST,Supply Chain,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0005,BUSINESS_APPLICATION,Business Application 0005,EU-WEST,Finance,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0006,BUSINESS_APPLICATION,Business Application 0006,AP-SOUTH,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0007,BUSINESS_APPLICATION,Business Application 0007,GLOBAL,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0008,BUSINESS_APPLICATION,Business Application 0008,AP-SOUTH,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0009,BUSINESS_APPLICATION,Business Application 0009,EU-WEST,Engineering,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0010,BUSINESS_APPLICATION,Business Application 0010,EU-WEST,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0011,BUSINESS_APPLICATION,Business Application 0011,US-EAST,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0001,APPLICATION_SERVICE,Application Service 0001,AP-SOUTH,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0002,APPLICATION_SERVICE,Application Service 0002,LATAM,Security,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0003,APPLICATION_SERVICE,Application Service 0003,EU-CENTRAL,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0004,APPLICATION_SERVICE,Application Service 0004,AP-NORTHEAST,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0005,APPLICATION_SERVICE,Application Service 0005,GLOBAL,Sales,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0006,APPLICATION_SERVICE,Application Service 0006,US-WEST,Data,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0007,APPLICATION_SERVICE,Application Service 0007,EU-WEST,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0008,APPLICATION_SERVICE,Application Service 0008,US-EAST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0009,APPLICATION_SERVICE,Application Service 0009,AP-NORTHEAST,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0010,APPLICATION_SERVICE,Application Service 0010,LATAM,Manufacturing,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0011,APPLICATION_SERVICE,Application Service 0011,GLOBAL,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0012,APPLICATION_SERVICE,Application Service 0012,AP-SOUTH,Sales,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0013,APPLICATION_SERVICE,Application Service 0013,EU-CENTRAL,HR,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0014,APPLICATION_SERVICE,Application Service 0014,AP-NORTHEAST,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0015,APPLICATION_SERVICE,Application Service 0015,LATAM,Data,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0016,APPLICATION_SERVICE,Application Service 0016,AP-SOUTH,HR,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0017,APPLICATION_SERVICE,Application Service 0017,US-WEST,Manufacturing,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
SVC-0018,APPLICATION_SERVICE,Application Service 0018,LATAM,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0001,SOFTWARE_COMPONENT,Software Component 0001,AP-NORTHEAST,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0002,SOFTWARE_COMPONENT,Software Component 0002,AP-NORTHEAST,Manufacturing,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
COMP-0003,SOFTWARE_COMPONENT,Software Component 0003,GLOBAL,Engineering,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0004,SOFTWARE_COMPONENT,Software Component 0004,GLOBAL,Security,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0005,SOFTWARE_COMPONENT,Software Component 0005,US-WEST,HR,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0006,SOFTWARE_COMPONENT,Software Component 0006,EU-WEST,Supply Chain,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0007,SOFTWARE_COMPONENT,Software Component 0007,LATAM,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0008,SOFTWARE_COMPONENT,Software Component 0008,US-WEST,Supply Chain,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0009,SOFTWARE_COMPONENT,Software Component 0009,AP-NORTHEAST,Support,MEDIUM,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
COMP-0010,SOFTWARE_COMPONENT,Software Component 0010,AP-SOUTH,HR,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0011,SOFTWARE_COMPONENT,Software Component 0011,EU-WEST,Sales,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
COMP-0012,SOFTWARE_COMPONENT,Software Component 0012,EU-WEST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0013,SOFTWARE_COMPONENT,Software Component 0013,AP-SOUTH,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0014,SOFTWARE_COMPONENT,Software Component 0014,AP-SOUTH,Manufacturing,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0015,SOFTWARE_COMPONENT,Software Component 0015,EU-CENTRAL,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0016,SOFTWARE_COMPONENT,Software Component 0016,GLOBAL,HR,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0017,SOFTWARE_COMPONENT,Software Component 0017,AP-NORTHEAST,Security,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0018,SOFTWARE_COMPONENT,Software Component 0018,US-WEST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0019,SOFTWARE_COMPONENT,Software Component 0019,EU-CENTRAL,HR,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0020,SOFTWARE_COMPONENT,Software Component 0020,AP-NORTHEAST,Manufacturing,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0021,SOFTWARE_COMPONENT,Software Component 0021,EU-WEST,HR,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0022,SOFTWARE_COMPONENT,Software Component 0022,LATAM,Corporate,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0023,SOFTWARE_COMPONENT,Software Component 0023,EU-WEST,Sales,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0024,SOFTWARE_COMPONENT,Software Component 0024,US-WEST,Sales,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0025,SOFTWARE_COMPONENT,Software Component 0025,AP-SOUTH,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0026,SOFTWARE_COMPONENT,Software Component 0026,GLOBAL,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0027,SOFTWARE_COMPONENT,Software Component 0027,EU-CENTRAL,Corporate,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0028,SOFTWARE_COMPONENT,Software Component 0028,EU-CENTRAL,HR,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0029,SOFTWARE_COMPONENT,Software Component 0029,AP-SOUTH,HR,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
COMP-0030,SOFTWARE_COMPONENT,Software Component 0030,LATAM,Legal,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0001,CLOUD_RESOURCE,Cloud Resource 0001,AP-NORTHEAST,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0002,CLOUD_RESOURCE,Cloud Resource 0002,EU-CENTRAL,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0003,CLOUD_RESOURCE,Cloud Resource 0003,US-EAST,Commerce,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CLOUD-0004,CLOUD_RESOURCE,Cloud Resource 0004,US-WEST,Manufacturing,MEDIUM,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CLOUD-0005,CLOUD_RESOURCE,Cloud Resource 0005,EU-WEST,Corporate,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0006,CLOUD_RESOURCE,Cloud Resource 0006,GLOBAL,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0007,CLOUD_RESOURCE,Cloud Resource 0007,US-EAST,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0008,CLOUD_RESOURCE,Cloud Resource 0008,LATAM,Sales,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0009,CLOUD_RESOURCE,Cloud Resource 0009,AP-NORTHEAST,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0010,CLOUD_RESOURCE,Cloud Resource 0010,US-WEST,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0011,CLOUD_RESOURCE,Cloud Resource 0011,AP-SOUTH,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0012,CLOUD_RESOURCE,Cloud Resource 0012,US-WEST,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0013,CLOUD_RESOURCE,Cloud Resource 0013,LATAM,Finance,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0014,CLOUD_RESOURCE,Cloud Resource 0014,GLOBAL,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
