observation_id,episode_id,entity_id,metric_id,breach_direction,observed_at,severity,value_band,data_classification
OBS-000001,EP-000001,SVC-0005,request_latency_ms,UP,2024-01-01T00:20:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000002,EP-000002,SVC-0002,authentication_failure_rate,UP,2024-01-01T00:37:00+00:00,CRITICAL,SEVERE,SYNTHETIC
OBS-000003,EP-000003,SVC-0001,service_error_rate,UP,2024-01-01T00:54:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000004,EP-000004,SVC-0001,queue_depth,UP,2024-01-01T01:11:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000005,EP-000005,SVC-0001,connection_failure_rate,UP,2024-01-01T01:28:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000006,EP-000006,SVC-0007,connection_failure_rate,UP,2024-01-01T01:45:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000007,EP-000007,SVC-0002,request_latency_ms,UP,2024-01-01T02:02:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000008,EP-000008,SVC-0001,authentication_failure_rate,UP,2024-01-01T02:19:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000009,EP-000009,SVC-0002,request_latency_ms,UP,2024-01-01T02:36:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000010,EP-000010,SVC-0001,transaction_failure_rate,UP,2024-01-01T02:53:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000011,EP-000011,SVC-0013,connection_failure_rate,UP,2024-01-01T03:10:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000012,EP-000012,SVC-0002,queue_depth,UP,2024-01-01T03:27:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000013,EP-000013,SVC-0009,transaction_failure_rate,UP,2024-01-01T03:44:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000014,EP-000014,SVC-0004,request_timeout_rate,UP,2024-01-01T04:01:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000015,EP-000015,SVC-0011,request_timeout_rate,UP,2024-01-01T04:18:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000016,EP-000016,SVC-0002,queue_depth,UP,2024-01-01T04:35:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000017,EP-000017,SVC-0001,request_timeout_rate,UP,2024-01-01T04:52:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000018,EP-000018,SVC-0012,service_error_rate,UP,2024-01-01T05:09:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000019,EP-000019,SVC-0001,connection_failure_rate,UP,2024-01-01T05:26:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000020,EP-000020,SVC-0005,request_timeout_rate,UP,2024-01-01T05:43:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000021,EP-000021,SVC-0005,authentication_failure_rate,UP,2024-01-01T06:00:00+00:00,CRITICAL,SEVERE,SYNTHETIC
OBS-000022,EP-000022,SVC-0008,queue_depth,UP,2024-01-01T06:17:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000023,EP-000023,SVC-0003,request_latency_ms,UP,2024-01-01T06:34:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000024,EP-000024,SVC-0001,request_latency_ms,UP,2024-01-01T06:51:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000025,EP-000025,SVC-0012,request_latency_ms,UP,2024-01-01T07:08:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000026,EP-000026,SVC-0001,queue_depth,UP,2024-01-01T07:25:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000027,EP-000027,SVC-0005,request_latency_ms,UP,2024-01-01T07:42:00+00:00,LOW,ELEVATED,SYNTHETIC
OBS-000028,EP-000028,SVC-0005,queue_depth,UP,2024-01-01T07:59:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000029,EP-000029,SVC-0008,request_timeout_rate,UP,2024-01-01T08:16:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000030,EP-000030,SVC-0003,authentication_failure_rate,UP,2024-01-01T08:33:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000031,EP-000031,SVC-0001,service_error_rate,UP,2024-01-01T08:50:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000032,EP-000032,SVC-0003,transaction_failure_rate,UP,2024-01-01T09:07:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000033,EP-000033,SVC-0002,service_error_rate,UP,2024-01-01T09:24:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000034,EP-000034,SVC-0001,request_latency_ms,UP,2024-01-01T09:41:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000035,EP-000035,SVC-0002,transaction_failure_rate,UP,2024-01-01T09:58:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000036,EP-000036,SVC-0002,queue_depth,UP,2024-01-01T10:15:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000037,EP-000037,SVC-0001,transaction_failure_rate,UP,2024-01-01T10:32:00+00:00,HIGH,SEVERE,SYNTHETIC
OBS-000038,EP-000038,SVC-0002,authentication_failure_rate,UP,2024-01-01T10:49:00+00:00,MEDIUM,ELEVATED,SYNTHETIC
OBS-000039,EP-000039,SVC-0002,connection_failure_rate,UP,2024-01-01T11:06:00+00:00,HIGH,SEVERE,SYNTHETIC
