incident_id,episode_id,observation_id,entity_id,entity_type,opened_at,region,business_unit,severity,symptom_category,onset_shape,blast_radius_band,support_team_id,recent_change_present,vendor_status_at_onset,short_description,state,data_classification
INC-000001,EP-000001,OBS-000001,SVC-0005,APPLICATION_SERVICE,2024-01-01T00:29:00+00:00,GLOBAL,Sales,HIGH,latency increase,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0005,False,UNKNOWN,Latency Increase affecting Application Service 0005,CLOSED,SYNTHETIC
INC-000002,EP-000002,OBS-000002,SVC-0002,APPLICATION_SERVICE,2024-01-01T00:46:00+00:00,LATAM,Security,CRITICAL,authentication failure,STEP,CROSS_PLATFORM,TEAM-0002,False,NOT_CHECKED,Authentication Failure affecting Application Service 0002,CLOSED,SYNTHETIC
INC-000003,EP-000003,OBS-000003,SVC-0001,APPLICATION_SERVICE,2024-01-01T01:03:00+00:00,AP-SOUTH,Manufacturing,HIGH,service degradation,STEP,CROSS_PLATFORM,TEAM-0001,False,NOT_CHECKED,Service Degradation affecting Application Service 0001,CLOSED,SYNTHETIC
INC-000004,EP-000004,OBS-000004,SVC-0001,APPLICATION_SERVICE,2024-01-01T01:20:00+00:00,AP-SOUTH,Manufacturing,MEDIUM,queue delay,STEP,CROSS_PLATFORM,TEAM-0001,False,UNKNOWN,Queue Delay affecting Application Service 0001,CLOSED,SYNTHETIC
INC-000005,EP-000005,OBS-000005,SVC-0001,APPLICATION_SERVICE,2024-01-01T01:37:00+00:00,AP-SOUTH,Manufacturing,HIGH,connection failure,GRADUAL,CROSS_PLATFORM,TEAM-0001,False,NOT_CHECKED,Connection Failure affecting Application Service 0001,CLOSED,SYNTHETIC
INC-000006,EP-000006,OBS-000006,SVC-0007,APPLICATION_SERVICE,2024-01-01T01:54:00+00:00,EU-WEST,Supply Chain,MEDIUM,connection failure,PERIODIC,CROSS_PLATFORM,TEAM-0007,False,NOT_CHECKED,Connection Failure affecting Application Service 0007,CLOSED,SYNTHETIC
INC-000007,EP-000007,OBS-000007,SVC-0002,APPLICATION_SERVICE,2024-01-01T02:11:00+00:00,LATAM,Security,LOW,latency increase,STEP,CROSS_PLATFORM,TEAM-0002,False,NOT_CHECKED,Latency Increase affecting Application Service 0002,CLOSED,SYNTHETIC
INC-000008,EP-000008,OBS-000008,SVC-0001,APPLICATION_SERVICE,2024-01-01T02:28:00+00:00,AP-SOUTH,Manufacturing,LOW,authentication failure,PERIODIC,CROSS_PLATFORM,TEAM-0001,True,NOT_CHECKED,Authentication Failure affecting Application Service 0001,CLOSED,SYNTHETIC
INC-000009,EP-000009,OBS-000009,SVC-0002,APPLICATION_SERVICE,2024-01-01T02:45:00+00:00,LATAM,Security,LOW,latency increase,PERIODIC,CROSS_PLATFORM,TEAM-0002,False,NOT_CHECKED,Latency Increase affecting Application Service 0002,CLOSED,SYNTHETIC
INC-000010,EP-000010,OBS-000010,SVC-0001,APPLICATION_SERVICE,2024-01-01T03:02:00+00:00,AP-SOUTH,Manufacturing,MEDIUM,transaction failure,POST_CHANGE_STEP,CROSS_PLATFORM,TEAM-0001,True,UNKNOWN,Transaction Failure affecting Application Service 0001,CLOSED,SYNTHETIC
