outcome_id,incident_id,episode_id,known_error_id,scenario_pattern,entity_id,recommendation,approval_decision,human_modification,action_performed,outcome,recovery_minutes,recurrence_within_24h,prior_confidence,evidence_usefulness_score,recorded_at,data_classification
OUT-000001,INC-000001,EP-000001,KE-0003,CERTIFICATE_EXPIRY,COMP-0005,RESTART_COMPONENT,APPROVED,,RESTART_COMPONENT,NOT_RESOLVED,569,False,,0.384,2024-01-01T09:58:00+00:00,SYNTHETIC
OUT-000002,INC-000002,EP-000002,KE-0004,IDENTITY_DEGRADATION,VENDOR-0004,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,98,False,,0.864,2024-01-01T02:24:00+00:00,SYNTHETIC
OUT-000003,INC-000003,EP-000003,KE-0004,IDENTITY_DEGRADATION,VENDOR-0003,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,NOT_RESOLVED,581,False,,0.482,2024-01-01T10:44:00+00:00,SYNTHETIC
OUT-000004,INC-000004,EP-000004,KE-0005,NETWORK_PATH_DEGRADATION,INFRA-0005,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,104,False,,0.881,2024-01-01T03:04:00+00:00,SYNTHETIC
OUT-000005,INC-000005,EP-000005,KE-0005,NETWORK_PATH_DEGRADATION,INFRA-0004,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,80,False,,0.931,2024-01-01T02:57:00+00:00,SYNTHETIC
OUT-000006,INC-000006,EP-000006,KE-0005,NETWORK_PATH_DEGRADATION,INFRA-0003,REROUTE_TRAFFIC,APPROVED,CHANGED_REMEDIATION,REROUTE_TRAFFIC,RESOLVED,90,True,,0.603,2024-01-01T03:24:00+00:00,SYNTHETIC
OUT-000007,INC-000007,EP-000007,KE-0006,EXTERNAL_VENDOR_OUTAGE,VENDOR-0002,RESTART_INTERNAL_SERVICE,APPROVED,,RESTART_INTERNAL_SERVICE,NOT_RESOLVED,504,False,,0.899,2024-01-01T10:35:00+00:00,SYNTHETIC
OUT-000008,INC-000008,EP-000008,KE-0006,EXTERNAL_VENDOR_OUTAGE,VENDOR-0001,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,NOT_RESOLVED,114,False,,0.535,2024-01-01T04:22:00+00:00,SYNTHETIC
OUT-000009,INC-000009,EP-000009,KE-0006,EXTERNAL_VENDOR_OUTAGE,VENDOR-0004,WAIT_AND_FAILOVER,REJECTED,,,NOT_EXECUTED,0,False,,0.0,2024-01-01T03:05:00+00:00,SYNTHETIC
OUT-000010,INC-000010,EP-000010,KE-0006,EXTERNAL_VENDOR_OUTAGE,VENDOR-0003,WAIT_AND_FAILOVER,APPROVED,CHANGED_REMEDIATION,WAIT_AND_FAILOVER,NOT_RESOLVED,142,False,,0.939,2024-01-01T05:24:00+00:00,SYNTHETIC
OUT-000011,INC-000011,EP-000011,KE-0007,SOFTWARE_REGRESSION,COMP-0013,RESTART_COMPONENT,APPROVED,,RESTART_COMPONENT,NOT_RESOLVED,294,False,,0.782,2024-01-01T08:13:00+00:00,SYNTHETIC
