relationship_id,source_entity_id,relationship_type,target_entity_id,relationship_authority,confidence,lifecycle_status,data_classification
REL-000001,CAP-0001,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000002,CAP-0002,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000003,CAP-0003,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000004,CAP-0004,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000005,CAP-0005,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000006,CAP-0006,CONTRIBUTES_TO,BO-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000007,APP-0001,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000008,APP-0001,SUPPORTS,CAP-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000009,APP-0002,SUPPORTS,CAP-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000010,APP-0002,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000011,APP-0003,SUPPORTS,CAP-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000012,APP-0003,SUPPORTS,CAP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000013,APP-0004,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000014,APP-0004,SUPPORTS,CAP-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000015,APP-0005,SUPPORTS,CAP-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000016,APP-0005,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000017,APP-0006,SUPPORTS,CAP-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000018,APP-0006,SUPPORTS,CAP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000019,APP-0007,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000020,APP-0007,SUPPORTS,CAP-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000021,APP-0008,SUPPORTS,CAP-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000022,APP-0008,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000023,APP-0009,SUPPORTS,CAP-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000024,APP-0009,SUPPORTS,CAP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000025,APP-0010,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000026,APP-0010,SUPPORTS,CAP-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000027,APP-0011,SUPPORTS,CAP-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000028,APP-0011,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000029,SVC-0001,IMPLEMENTS,APP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000030,SVC-0001,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000031,SVC-0002,IMPLEMENTS,APP-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000032,SVC-0002,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000033,SVC-0003,IMPLEMENTS,APP-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000034,SVC-0003,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000035,SVC-0004,IMPLEMENTS,APP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000036,SVC-0004,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000037,SVC-0005,IMPLEMENTS,APP-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000038,SVC-0005,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000039,SVC-0006,IMPLEMENTS,APP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000040,SVC-0006,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000041,SVC-0007,IMPLEMENTS,APP-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000042,SVC-0007,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000043,SVC-0008,IMPLEMENTS,APP-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000044,SVC-0008,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000045,SVC-0009,IMPLEMENTS,APP-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000046,SVC-0009,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000047,SVC-0010,IMPLEMENTS,APP-0010,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000048,SVC-0010,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000049,SVC-0011,IMPLEMENTS,APP-0011,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000050,SVC-0011,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000051,SVC-0012,IMPLEMENTS,APP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000052,SVC-0012,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000053,SVC-0013,IMPLEMENTS,APP-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000054,SVC-0013,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000055,SVC-0014,IMPLEMENTS,APP-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000056,SVC-0014,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000057,SVC-0015,IMPLEMENTS,APP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000058,SVC-0015,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000059,SVC-0016,IMPLEMENTS,APP-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
