episode_id,incident_id,true_cause_family,true_root_entity_id,true_pattern_id,correct_remediation,propagation_targets,change_id,cause_selection_stream,background_stream,data_classification
EP-000001,INC-000001,CERTIFICATE_EXPIRY,COMP-0005,KE-0003,ROTATE_CERTIFICATE,"[""APP-0005"", ""CAP-0001"", ""CLOUD-0005"", ""COMP-0001"", ""COMP-0006"", ""COMP-0010"", ""COMP-0013"", ""COMP-0020"", ""COMP-0021"", ""COMP-0025"", ""COMP-0027"", ""COMP-0029"", ""COMP-0030"", ""DATA-0005"", ""DATA-0008"", ""INFRA-0005"", ""POL-0001"", ""POL-0002"", ""POL-0003"", ""POL-0004"", ""SVC-0001"", ""SVC-0005"", ""TEAM-0005"", ""VENDOR-0001""]",,cause:2:0,background:EP-000001,SYNTHETIC
EP-000002,INC-000002,IDENTITY_DEGRADATION,VENDOR-0004,KE-0004,RESTORE_IDENTITY_DEPENDENCY,"[""SVC-0002"", ""SVC-0004"", ""SVC-0005"", ""SVC-0007"", ""SVC-0008"", ""SVC-0009"", ""SVC-0011"", ""SVC-0012"", ""SVC-0013"", ""SVC-0014"", ""SVC-0015"", ""SVC-0017""]",,cause:3:0,background:EP-000002,SYNTHETIC
EP-000003,INC-000003,IDENTITY_DEGRADATION,VENDOR-0003,KE-0004,RESTORE_IDENTITY_DEPENDENCY,"[""SVC-0001"", ""SVC-0002"", ""SVC-0003"", ""SVC-0004"", ""SVC-0005"", ""SVC-0007"", ""SVC-0008"", ""SVC-0009"", ""SVC-0010"", ""SVC-0011"", ""SVC-0013"", ""SVC-0014""]",,cause:3:1,background:EP-000003,SYNTHETIC
EP-000004,INC-000004,NETWORK_PATH_DEGRADATION,INFRA-0005,KE-0005,REROUTE_TRAFFIC,"[""APP-0008"", ""CAP-0004"", ""CLOUD-0004"", ""CLOUD-0005"", ""CLOUD-0021"", ""COMP-0013"", ""INFRA-0003"", ""POL-0001"", ""SVC-0001"", ""SVC-0005"", ""SVC-0006"", ""SVC-0007"", ""SVC-0008"", ""SVC-0009"", ""SVC-0010"", ""SVC-0012"", ""SVC-0016"", ""SVC-0017"", ""SVC-0018"", ""TEAM-0001"", ""TEAM-0002"", ""VENDOR-0001"", ""VENDOR-0003""]",,cause:4:0,background:EP-000004,SYNTHETIC
EP-000005,INC-000005,NETWORK_PATH_DEGRADATION,INFRA-0004,KE-0005,REROUTE_TRAFFIC,"[""APP-0004"", ""CAP-0001"", ""CLOUD-0012"", ""CLOUD-0016"", ""CLOUD-0020"", ""COMP-0004"", ""COMP-0028"", ""POL-0004"", ""SVC-0001"", ""SVC-0004"", ""SVC-0005"", ""SVC-0009"", ""SVC-0010"", ""SVC-0011"", ""SVC-0012"", ""SVC-0013"", ""SVC-0015"", ""SVC-0016"", ""SVC-0017"", ""SVC-0018"", ""TEAM-0007""]",,cause:4:1,background:EP-000005,SYNTHETIC
EP-000006,INC-000006,NETWORK_PATH_DEGRADATION,INFRA-0003,KE-0005,REROUTE_TRAFFIC,"[""APP-0004"", ""CAP-0001"", ""CLOUD-0002"", ""CLOUD-0005"", ""CLOUD-0019"", ""CLOUD-0020"", ""COMP-0019"", ""INFRA-0002"", ""INFRA-0006"", ""POL-0003"", ""SVC-0007"", ""SVC-0008"", ""SVC-0009"", ""SVC-0010"", ""SVC-0011"", ""SVC-0012"", ""SVC-0013"", ""SVC-0015"", ""SVC-0017"", ""SVC-0018"", ""TEAM-0001"", ""TEAM-0005"", ""VENDOR-0004""]",,cause:4:2,background:EP-000006,SYNTHETIC
EP-000007,INC-000007,EXTERNAL_VENDOR_OUTAGE,VENDOR-0002,KE-0006,WAIT_AND_FAILOVER,"[""COMP-0002"", ""COMP-0020"", ""SVC-0002"", ""SVC-0004"", ""SVC-0005"", ""SVC-0007"", ""SVC-0009"", ""SVC-0010"", ""SVC-0013"", ""SVC-0014"", ""SVC-0018"", ""TEAM-0001""]",,cause:5:0,background:EP-000007,SYNTHETIC
EP-000008,INC-000008,EXTERNAL_VENDOR_OUTAGE,VENDOR-0001,KE-0006,WAIT_AND_FAILOVER,"[""COMP-0001"", ""COMP-0019"", ""SVC-0001"", ""SVC-0003"", ""SVC-0005"", ""SVC-0008"", ""SVC-0009"", ""SVC-0013"", ""SVC-0014"", ""SVC-0017"", ""SVC-0018"", ""TEAM-0003""]",CHG-000008,cause:5:1,background:EP-000008,SYNTHETIC
EP-000009,INC-000009,EXTERNAL_VENDOR_OUTAGE,VENDOR-0004,KE-0006,WAIT_AND_FAILOVER,"[""SVC-0002"", ""SVC-0004"", ""SVC-0005"", ""SVC-0007"", ""SVC-0008"", ""SVC-0009"", ""SVC-0011"", ""SVC-0012"", ""SVC-0013"", ""SVC-0014"", ""SVC-0015"", ""SVC-0017""]",,cause:5:2,background:EP-000009,SYNTHETIC
EP-000010,INC-000010,EXTERNAL_VENDOR_OUTAGE,VENDOR-0003,KE-0006,WAIT_AND_FAILOVER,"[""SVC-0001"", ""SVC-0002"", ""SVC-0003"", ""SVC-0004"", ""SVC-0005"", ""SVC-0007"", ""SVC-0008"", ""SVC-0009"", ""SVC-0010"", ""SVC-0011"", ""SVC-0013"", ""SVC-0014""]",CHG-000010,cause:5:3,background:EP-000010,SYNTHETIC
EP-000011,INC-000011,SOFTWARE_REGRESSION,COMP-0013,KE-0007,ROLLBACK_RELEASE,"[""APP-0002"", ""CAP-0001"", ""CLOUD-0013"", ""COMP-0003"", ""COMP-0006"", ""COMP-0008"", ""COMP-0011"", ""COMP-0019"", ""COMP-0021"", ""COMP-0029"", ""DATA-0003"", ""DATA-0009"", ""DATA-0010"", ""INFRA-0005"", ""POL-0001"", ""POL-0002"", ""POL-0003"", ""POL-0004"", ""SVC-0013"", ""TEAM-0006"", ""VENDOR-0001""]",CHG-000011,cause:6:0,background:EP-000011,SYNTHETIC
EP-000012,INC-000012,SOFTWARE_REGRESSION,COMP-0020,KE-0007,ROLLBACK_RELEASE,"[""APP-0002"", ""CAP-0004"", ""CLOUD-0020"", ""COMP-0001"", ""COMP-0005"", ""COMP-0010"", ""COMP-0012"", ""COMP-0016"", ""COMP-0019"", ""COMP-0025"", ""COMP-0027"", ""DATA-0003"", ""INFRA-0001"", ""INFRA-0008"", ""POL-0001"", ""POL-0002"", ""POL-0003"", ""POL-0004"", ""SVC-0002"", ""TEAM-0002"", ""VENDOR-0002"", ""VENDOR-0003"", ""VENDOR-0004""]",CHG-000012,cause:6:1,background:EP-000012,SYNTHETIC
EP-000013,INC-000013,SOFTWARE_REGRESSION,COMP-0027,KE-0007,ROLLBACK_RELEASE,"[""APP-0009"", ""CAP-0001"", ""CLOUD-0006"", ""COMP-0001"", ""COMP-0005"", ""COMP-0006"", ""COMP-0007"", ""COMP-0010"", ""COMP-0012"", ""COMP-0016"", ""COMP-0020"", ""COMP-0021"", ""COMP-0025"", ""DATA-0007"", ""DATA-0008"", ""INFRA-0003"", ""POL-0002"", ""POL-0003"", ""POL-0004"", ""SVC-0009"", ""TEAM-0002"", ""VENDOR-0001"", ""VENDOR-0003""]",,cause:6:2,background:EP-000013,SYNTHETIC
EP-000014,INC-000014,SOFTWARE_REGRESSION,COMP-0004,KE-0007,ROLLBACK_RELEASE,"[""APP-0004"", ""CAP-0004"", ""CLOUD-0004"", ""COMP-0003"", ""COMP-0011"", ""COMP-0017"", ""COMP-0019"", ""COMP-0021"", ""COMP-0025"", ""COMP-0029"", ""DATA-0001"", ""INFRA-0004"", ""INFRA-0005"", ""INFRA-0006"", ""INFRA-0007"", ""POL-0001"", ""POL-0002"", ""POL-0003"", ""POL-0004"", ""SVC-0004"", ""TEAM-0004"", ""VENDOR-0003"", ""VENDOR-0004""]",CHG-000014,cause:6:3,background:EP-000014,SYNTHETIC
EP-000015,INC-000015,SOFTWARE_REGRESSION,COMP-0011,KE-0007,ROLLBACK_RELEASE,"[""APP-0011"", ""CAP-0001"", ""CLOUD-0011"", ""COMP-0003"", ""COMP-0008"", ""COMP-0010"", ""COMP-0013"", ""COMP-0021"", ""COMP-0025"", ""DATA-0001"", ""DATA-0009"", ""INFRA-0003"", ""INFRA-0006"", ""POL-0001"", ""POL-0002"", ""POL-0004"", ""SVC-0011"", ""SVC-0012"", ""TEAM-0004"", ""VENDOR-0004""]",,cause:6:4,background:EP-000015,SYNTHETIC
EP-000016,INC-000016,DATA_STORE_CONTENTION,DATA-0010,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0002"", ""COMP-0003"", ""COMP-0013"", ""COMP-0021"", ""COMP-0028"", ""COMP-0030"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""SVC-0002""]",,cause:7:0,background:EP-000016,SYNTHETIC
EP-000017,INC-000017,DATA_STORE_CONTENTION,DATA-0007,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0001"", ""COMP-0003"", ""COMP-0007"", ""COMP-0017"", ""COMP-0018"", ""COMP-0021"", ""COMP-0023"", ""COMP-0027"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0001""]",,cause:7:1,background:EP-000017,SYNTHETIC
EP-000018,INC-000018,DATA_STORE_CONTENTION,DATA-0004,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0005"", ""COMP-0012"", ""COMP-0014"", ""COMP-0015"", ""COMP-0017"", ""COMP-0025"", ""COMP-0028"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0012""]",,cause:7:2,background:EP-000018,SYNTHETIC
EP-000019,INC-000019,DATA_STORE_CONTENTION,DATA-0001,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0001"", ""COMP-0002"", ""COMP-0004"", ""COMP-0006"", ""COMP-0010"", ""COMP-0011"", ""COMP-0016"", ""COMP-0021"", ""COMP-0026"", ""COMP-0030"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0001""]",,cause:7:3,background:EP-000019,SYNTHETIC
EP-000020,INC-000020,DATA_STORE_CONTENTION,DATA-0008,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0003"", ""COMP-0005"", ""COMP-0007"", ""COMP-0014"", ""COMP-0016"", ""COMP-0017"", ""COMP-0023"", ""COMP-0026"", ""COMP-0027"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0009"", ""DATA-0010"", ""SVC-0005""]",,cause:7:4,background:EP-000020,SYNTHETIC
EP-000021,INC-000021,DATA_STORE_CONTENTION,DATA-0005,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0005"", ""COMP-0015"", ""COMP-0021"", ""COMP-0025"", ""COMP-0028"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0005""]",,cause:7:5,background:EP-000021,SYNTHETIC
EP-000022,INC-000022,DATA_STORE_CONTENTION,DATA-0002,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0002"", ""COMP-0003"", ""COMP-0008"", ""COMP-0012"", ""COMP-0025"", ""COMP-0028"", ""COMP-0029"", ""COMP-0030"", ""DATA-0001"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0008""]",,cause:7:6,background:EP-000022,SYNTHETIC
EP-000023,INC-000023,DATA_STORE_CONTENTION,DATA-0009,KE-0008,TERMINATE_BLOCKING_WORKLOAD,"[""COMP-0003"", ""COMP-0009"", ""COMP-0011"", ""COMP-0013"", ""COMP-0014"", ""COMP-0017"", ""COMP-0019"", ""COMP-0029"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0010"", ""SVC-0003""]",,cause:7:7,background:EP-000023,SYNTHETIC
